Video Link,Primary Tag,Secondary Tag,Description,,,,,,,,
https://www.youtube.com/watch?v=Fzf6BSbINPQ,irrelevant,Software,"ad for dile format manipulation APIs, shows file types ",,,,,,,,
https://www.youtube.com/watch?v=j55oJ8NHXlw,irrelevant,Autos & Vehicles,ad for tires that shows high speed f1 cars racing,,,,,,,,
https://www.youtube.com/watch?v=wzgKO-QZ1cU,irrelevant,Fashion,ad for spectacle shop,,,,,,,,
https://www.youtube.com/watch?v=n1uMusIM9AA,irrelevant,Home and Lifestyle,ad about sale on kitchen items,,,,,,,,
https://www.youtube.com/watch?v=Magi9oDBcf4,irrelevant,Travel & Adventure,discover croatia ad,,,,,,,,
https://www.youtube.com/watch?v=vKp2YdhnOFM,irrelevant,Fashion,luxury fashion shopping ad,,,,,,,,
https://www.youtube.com/watch?v=6Dz0NB7XcN8,irrelevant,Tech & Gadgets,ad showing parts of speaker,,,,,,,,
https://www.youtube.com/watch?v=6UdvlHZXPKg,irrelevant,Fashion,louboutin shoes ad,,,,,,,,
https://www.youtube.com/watch?v=H3QcKR5vIr4,irrelevant,Education & Learning,higher edu degree in sports management ad,,,,,,,,
https://www.youtube.com/watch?v=b_p4Fd5jgxw,irrelevant,Parenting & Family,"ad for company that sells things for new parents -> clothes, furntitre etc",,,,,,,,
https://www.youtube.com/watch?v=IHcdHuAdNNQ,irrelevant,Fashion,pandora jewelry,,,,,,,,
https://www.youtube.com/watch?v=_ZvE8vIkpWY,irrelevant,Travel & Adventure,ride hailing service ad,,,,,,,,
https://www.youtube.com/watch?v=mA2yRfp76_A,irrelevant,Business & Entrepreneurship,drawing/animated but for an SCPI platform,,,,,,,,
https://www.youtube.com/watch?v=McqNypaj1uY,irrelevant,Business & Entrepreneurship,5 winning entrepeneur testimonials from BNP ,,,,,,,,
https://www.youtube.com/watch?v=jiqt2Fs6Ws4,irrelevant,Home and Office,"ego power+ ad, batteries",,,,,,,,
https://www.youtube.com/watch?v=zDAAofaGMDw,irrelevant,Travel & Adventure,train ad,,,,,,,,
https://www.youtube.com/watch?v=W5sPZdpIQy8,irrelevant,Software,3d animation nvidida studio use tutroiaal,,,,,,,,
https://www.youtube.com/watch?v=VYOIyzA9JD0,inappropriate,Physical Violence,shows a trailer of a movie that is rated pg 13. contains mild violence,,,,,,,,
https://www.youtube.com/watch?v=foFeXhEc0wI,irrelevant,Home and Lifestyle,ad where a woman promotes certain decoration and interior design in french language,,,,,,,,
https://www.youtube.com/watch?v=JTRrOVJooYQ,irrelevant,Fashion,msuical/dance performance for shoes ad,,,,,,,,
https://www.youtube.com/watch?v=zNsgbp21FfY,inaudible,Different Language,music video. While it did not contain any explicit content. Language tamil so could not interpret lyrics,,,,,,,,
https://www.youtube.com/watch?v=asxeoJNgr8s,irrelevant,Autos & Vehicles,"ad for volvo, shows car features, talks in french",,,,,,,,
https://www.youtube.com/watch?v=H4IaloVkfbc,irrelevant,Fashion,shows a model surrounded by different clothes/footwear,,,,,,,,
https://www.youtube.com/watch?v=srsDcnlPeOo,irrelevant,Autos & Vehicles,cars and parking in france,,,,,,,,
https://www.youtube.com/watch?v=5iPuRx1aEP0,irrelevant,Finance & Legal,software to help manage expenses,,,,,,,,
https://www.youtube.com/watch?v=tUNcPrRHD9k,irrelevant,Autos & Vehicles,volkswagen car ad,,,,,,,,
https://www.youtube.com/watch?v=2BE3xMLNfUM,irrelevant,Sports & Athletics,ad shwoing 2 people cruclinh cross country in mountainous terrain,,,,,,,,
https://www.youtube.com/watch?v=zTIdVh7t2W4,child directed,Toys,ad for marvel spiderman tiny figurines ,,,,,,,,
https://www.youtube.com/watch?v=kio-GvJRkZo,irrelevant,Travel & Adventure,"taiwan intro ad, has some animation",,,,,,,,
https://www.youtube.com/watch?v=rP4Y3aEVGSw,irrelevant,Sports & Athletics,"ad showinf nike logo and products like football, bottle and jogger",,,,,,,,
https://www.youtube.com/watch?v=L84EGi027OQ,irrelevant,Business & Entrepreneurship,interview about business in french,,,,,,,,
https://www.youtube.com/watch?v=dr-Jh-Q2M6M,irrelevant,Fashion,ad about farfetch fasion brand sale,,,,,,,,
https://www.youtube.com/watch?v=O_GVDaYLtJ4,irrelevant,Software,discount w coupon codes app,,,,,,,,
https://www.youtube.com/watch?v=ls-5Z6IsK3I,irrelevant,Sports & Athletics,"ad for an indoor climbing park, shows various people climbing. marked made for kids but not rlly",,,,,,,,
https://www.youtube.com/watch?v=u6B18MxmzlA,irrelevant,Home and Lifestyle,"ad fro ikea fruniture, shows a female salepreson showing office furntiture to a man",,,,,,,,
https://www.youtube.com/watch?v=rwdLyzYmQDY,irrelevant,Software,"shows ad about ecoasia, an ad about a search engine that plants trees for searches. ad shows global reach and how they go about their business",,,,,,,,
https://www.youtube.com/watch?v=xJFSnkwE0Ao,irrelevant,Fashion,"fashion collection, marked made for kids wrongly",,,,,,,,
https://www.youtube.com/watch?v=3uJw2Gh_lwk,child directed,Toys,"toys, dreamworks tv",,,,,,,,
https://www.youtube.com/watch?v=egf6ijcd9ds,irrelevant,Business & Entrepreneurship,interview w a logistics expert in factory,,,,,,,,
https://www.youtube.com/watch?v=tWfOXPparbk,irrelevant,Tech & Gadgets,Top 4 Features of PTC-140 HD PTZ Camera,,,,,,,,
